DEPTH	P_L_95	P_H_95	P_L_99	P_H_99
291	-0.164948453608247	0.175257731958763	-0.209621993127148	0.237113402061856
292	-0.157534246575342	0.171232876712329	-0.236301369863014	0.232876712328767
293	-0.177474402730375	0.170648464163823	-0.26962457337884	0.232081911262799
294	-0.170068027210884	0.166666666666667	-0.23469387755102	0.23469387755102
295	-0.183050847457627	0.186440677966102	-0.244067796610169	0.250847457627119
296	-0.165540540540541	0.175675675675676	-0.226351351351351	0.233108108108108
297	-0.175084175084175	0.164983164983165	-0.225589225589226	0.208754208754209
298	-0.174496644295302	0.174496644295302	-0.23489932885906	0.221476510067114
299	-0.173913043478261	0.167224080267559	-0.220735785953177	0.210702341137124
300	-0.163333333333333	0.173333333333333	-0.233333333333333	0.236666666666667
